symbol,cik,n_events,n_2016_2024,oldest,newest
AAPL,320193,87,36,2004-10-13,2026-04-30
MSFT,789019,72,36,2008-07-17,2026-04-29
NVDA,1045810,87,36,2004-10-27,2026-05-20
META,1326801,56,36,2012-07-26,2026-04-29
AMZN,1018724,87,36,2004-10-21,2026-04-29
GOOGL,1652044,43,36,2015-10-22,2026-04-29
TSLA,1318605,65,37,2010-08-04,2026-07-02
AMD,2488,88,36,2004-10-07,2026-05-05
BA,12927,81,36,2006-02-01,2026-04-22
HD,354950,87,36,2004-11-16,2026-05-19
JNJ,200406,87,36,2005-01-26,2026-07-15
KO,21344,87,36,2004-10-21,2026-04-28
MA,1141391,80,36,2006-08-02,2026-04-30
PG,80424,47,36,2014-10-24,2026-04-24
V,1403161,46,36,2015-01-29,2026-04-28
WMT,104169,57,36,2012-05-17,2026-05-21
XOM,34088,83,36,2005-10-27,2026-05-01
PLTR,1321655,23,17,2020-11-12,2026-05-04
NFLX,1065280,73,36,2008-07-25,2026-07-16
UBER,1543151,29,23,2019-05-30,2026-05-06
CAT,18230,66,36,2010-01-27,2026-04-30
PFE,78003,53,37,2013-07-30,2026-05-05
ABBV,1551152,54,36,2013-04-26,2026-07-06
MRK,310158,87,36,2004-10-21,2026-04-30
NKE,320187,88,36,2004-09-20,2026-06-23
MCD,63908,87,36,2004-10-13,2026-05-07
COST,909832,85,36,2005-03-02,2026-05-28
PEP,77476,88,36,2004-09-30,2026-07-09
QCOM,804328,68,36,2009-07-22,2026-04-29
TXN,97476,88,36,2004-09-08,2026-04-22
AVGO,1730168,33,27,2018-06-07,2026-06-03
MU,723125,88,36,2004-09-29,2026-06-24
AMAT,6951,52,35,2013-05-16,2026-05-14
